"country","indicator","measure","Unit","Date","Value"
"Argentina","Global Innovation Index","Score","Score, 100=Max strength 0=Weakest","2013","37.66"
"Argentina","Global Innovation Index","Score","Score, 100=Max strength 0=Weakest","2014","35.13"
"Argentina","Global Innovation Index","Score","Score, 100=Max strength 0=Weakest","2015","34.3"
"Argentina","Global Innovation Index","Score","Score, 100=Max strength 0=Weakest","2016","30.24"
"Argentina","Global Innovation Index","Score","Score, 100=Max strength 0=Weakest","2017","32"
"Argentina","Global Innovation Index","Score","Score, 100=Max strength 0=Weakest","2018","30.7"
"Argentina","Global Innovation Index","Score","Score, 100=Max strength 0=Weakest","2019","31.9"
"Argentina","Global Innovation Index","Score","Score, 100=Max strength 0=Weakest","2020","28.3"
"Argentina","Global Innovation Index","Score","Score, 100=Max strength 0=Weakest","2021","29.8"
"Argentina","Global Innovation Index","Score","Score, 100=Max strength 0=Weakest","2022","28.6"
"Argentina","Institutions","Score","Score, 100=Max strength 0=Weakest","2013","50.68"
"Argentina","Institutions","Score","Score, 100=Max strength 0=Weakest","2014","49.06"
"Argentina","Institutions","Score","Score, 100=Max strength 0=Weakest","2015","48.03"
"Argentina","Institutions","Score","Score, 100=Max strength 0=Weakest","2016","47.21"
"Argentina","Institutions","Score","Score, 100=Max strength 0=Weakest","2017","46.37"
"Argentina","Institutions","Score","Score, 100=Max strength 0=Weakest","2018","54.7"
"Argentina","Institutions","Score","Score, 100=Max strength 0=Weakest","2019","56.7"
"Argentina","Institutions","Score","Score, 100=Max strength 0=Weakest","2020","54.3"
"Argentina","Institutions","Score","Score, 100=Max strength 0=Weakest","2021","52.8"
"Argentina","Institutions","Score","Score, 100=Max strength 0=Weakest","2022","47.6"
"Argentina","Human capital and research","Score","Score, 100=Max strength 0=Weakest","2013","36.66"
"Argentina","Human capital and research","Score","Score, 100=Max strength 0=Weakest","2014","38.25"
"Argentina","Human capital and research","Score","Score, 100=Max strength 0=Weakest","2015","37.67"
"Argentina","Human capital and research","Score","Score, 100=Max strength 0=Weakest","2016","37.29"
"Argentina","Human capital and research","Score","Score, 100=Max strength 0=Weakest","2017","42.58"
"Argentina","Human capital and research","Score","Score, 100=Max strength 0=Weakest","2018","35.53"
"Argentina","Human capital and research","Score","Score, 100=Max strength 0=Weakest","2019","38.7"
"Argentina","Human capital and research","Score","Score, 100=Max strength 0=Weakest","2020","35.9"
"Argentina","Human capital and research","Score","Score, 100=Max strength 0=Weakest","2021","37"
"Argentina","Human capital and research","Score","Score, 100=Max strength 0=Weakest","2022","30.5"
"Argentina","Market sophistication","Score","Score, 100=Max strength 0=Weakest","2013","37.32"
"Argentina","Market sophistication","Score","Score, 100=Max strength 0=Weakest","2014","37.73"
"Argentina","Market sophistication","Score","Score, 100=Max strength 0=Weakest","2015","35.94"
"Argentina","Market sophistication","Score","Score, 100=Max strength 0=Weakest","2016","35.68"
"Argentina","Market sophistication","Score","Score, 100=Max strength 0=Weakest","2017","37.74"
"Argentina","Market sophistication","Score","Score, 100=Max strength 0=Weakest","2018","37.79"
"Argentina","Market sophistication","Score","Score, 100=Max strength 0=Weakest","2019","37.9"
"Argentina","Market sophistication","Score","Score, 100=Max strength 0=Weakest","2020","34.6"
"Argentina","Market sophistication","Score","Score, 100=Max strength 0=Weakest","2021","37.5"
"Argentina","Market sophistication","Score","Score, 100=Max strength 0=Weakest","2022","24.9"
"Argentina","Business sophistication","Score","Score, 100=Max strength 0=Weakest","2013","34.2"
"Argentina","Business sophistication","Score","Score, 100=Max strength 0=Weakest","2014","32.88"
"Argentina","Business sophistication","Score","Score, 100=Max strength 0=Weakest","2015","36.26"
"Argentina","Business sophistication","Score","Score, 100=Max strength 0=Weakest","2016","30.84"
"Argentina","Business sophistication","Score","Score, 100=Max strength 0=Weakest","2017","33.63"
"Argentina","Business sophistication","Score","Score, 100=Max strength 0=Weakest","2018","31.38"
"Argentina","Business sophistication","Score","Score, 100=Max strength 0=Weakest","2019","32.6"
"Argentina","Business sophistication","Score","Score, 100=Max strength 0=Weakest","2020","26.9"
"Argentina","Business sophistication","Score","Score, 100=Max strength 0=Weakest","2021","26.7"
"Argentina","Business sophistication","Score","Score, 100=Max strength 0=Weakest","2022","31.2"
"Argentina","Knowledge and technology outputs","Score","Score, 100=Max strength 0=Weakest","2013","25.65"
"Argentina","Knowledge and technology outputs","Score","Score, 100=Max strength 0=Weakest","2014","25.22"
"Argentina","Knowledge and technology outputs","Score","Score, 100=Max strength 0=Weakest","2015","22.24"
"Argentina","Knowledge and technology outputs","Score","Score, 100=Max strength 0=Weakest","2016","17.97"
"Argentina","Knowledge and technology outputs","Score","Score, 100=Max strength 0=Weakest","2017","17.61"
"Argentina","Knowledge and technology outputs","Score","Score, 100=Max strength 0=Weakest","2018","17.88"
"Argentina","Knowledge and technology outputs","Score","Score, 100=Max strength 0=Weakest","2019","19.2"
"Argentina","Knowledge and technology outputs","Score","Score, 100=Max strength 0=Weakest","2020","17.2"
"Argentina","Knowledge and technology outputs","Score","Score, 100=Max strength 0=Weakest","2021","18.7"
"Argentina","Knowledge and technology outputs","Score","Score, 100=Max strength 0=Weakest","2022","19"
"Argentina","Creative outputs","Score","Score, 100=Max strength 0=Weakest","2013","47.46"
"Argentina","Creative outputs","Score","Score, 100=Max strength 0=Weakest","2014","36.92"
"Argentina","Creative outputs","Score","Score, 100=Max strength 0=Weakest","2015","36.52"
"Argentina","Creative outputs","Score","Score, 100=Max strength 0=Weakest","2016","25.27"
"Argentina","Creative outputs","Score","Score, 100=Max strength 0=Weakest","2017","27.63"
"Argentina","Creative outputs","Score","Score, 100=Max strength 0=Weakest","2018","23.63"
"Argentina","Creative outputs","Score","Score, 100=Max strength 0=Weakest","2019","24"
"Argentina","Creative outputs","Score","Score, 100=Max strength 0=Weakest","2020","19.6"
"Argentina","Creative outputs","Score","Score, 100=Max strength 0=Weakest","2021","21.9"
"Argentina","Creative outputs","Score","Score, 100=Max strength 0=Weakest","2022","24.2"
"Argentina","Infrastructure","Score","Score, 100=Max strength 0=Weakest","2013","35.02"
"Argentina","Infrastructure","Score","Score, 100=Max strength 0=Weakest","2014","37.98"
"Argentina","Infrastructure","Score","Score, 100=Max strength 0=Weakest","2015","38.2"
"Argentina","Infrastructure","Score","Score, 100=Max strength 0=Weakest","2016","43.29"
"Argentina","Infrastructure","Score","Score, 100=Max strength 0=Weakest","2017","46.6"
"Argentina","Infrastructure","Score","Score, 100=Max strength 0=Weakest","2018","43.37"
"Argentina","Infrastructure","Score","Score, 100=Max strength 0=Weakest","2019","45.8"
"Argentina","Infrastructure","Score","Score, 100=Max strength 0=Weakest","2020","39.5"
"Argentina","Infrastructure","Score","Score, 100=Max strength 0=Weakest","2021","42.5"
"Argentina","Infrastructure","Score","Score, 100=Max strength 0=Weakest","2022","44"
"Australia","Global Innovation Index","Score","Score, 100=Max strength 0=Weakest","2013","53.07"
"Australia","Global Innovation Index","Score","Score, 100=Max strength 0=Weakest","2014","55.01"
"Australia","Global Innovation Index","Score","Score, 100=Max strength 0=Weakest","2015","55.2"
"Australia","Global Innovation Index","Score","Score, 100=Max strength 0=Weakest","2016","53.07"
"Australia","Global Innovation Index","Score","Score, 100=Max strength 0=Weakest","2017","51.83"
"Australia","Global Innovation Index","Score","Score, 100=Max strength 0=Weakest","2018","52"
"Australia","Global Innovation Index","Score","Score, 100=Max strength 0=Weakest","2019","50.3"
"Australia","Global Innovation Index","Score","Score, 100=Max strength 0=Weakest","2020","48.4"
"Australia","Global Innovation Index","Score","Score, 100=Max strength 0=Weakest","2021","48.3"
"Australia","Global Innovation Index","Score","Score, 100=Max strength 0=Weakest","2022","47.1"
"Australia","Institutions","Score","Score, 100=Max strength 0=Weakest","2013","89.37"
"Australia","Institutions","Score","Score, 100=Max strength 0=Weakest","2014","88.95"
"Australia","Institutions","Score","Score, 100=Max strength 0=Weakest","2015","89.32"
"Australia","Institutions","Score","Score, 100=Max strength 0=Weakest","2016","88.76"
"Australia","Institutions","Score","Score, 100=Max strength 0=Weakest","2017","87.37"
"Australia","Institutions","Score","Score, 100=Max strength 0=Weakest","2018","88.7"
"Australia","Institutions","Score","Score, 100=Max strength 0=Weakest","2019","88.8"
"Australia","Institutions","Score","Score, 100=Max strength 0=Weakest","2020","88.7"
"Australia","Institutions","Score","Score, 100=Max strength 0=Weakest","2021","88.3"
"Australia","Institutions","Score","Score, 100=Max strength 0=Weakest","2022","77.2"
"Australia","Human capital and research","Score","Score, 100=Max strength 0=Weakest","2013","57.8"
"Australia","Human capital and research","Score","Score, 100=Max strength 0=Weakest","2014","61.85"
"Australia","Human capital and research","Score","Score, 100=Max strength 0=Weakest","2015","57"
"Australia","Human capital and research","Score","Score, 100=Max strength 0=Weakest","2016","59.67"
"Australia","Human capital and research","Score","Score, 100=Max strength 0=Weakest","2017","60.22"
"Australia","Human capital and research","Score","Score, 100=Max strength 0=Weakest","2018","65.16"
"Australia","Human capital and research","Score","Score, 100=Max strength 0=Weakest","2019","57.7"
"Australia","Human capital and research","Score","Score, 100=Max strength 0=Weakest","2020","59"
"Australia","Human capital and research","Score","Score, 100=Max strength 0=Weakest","2021","57.4"
"Australia","Human capital and research","Score","Score, 100=Max strength 0=Weakest","2022","61.7"
"Australia","Market sophistication","Score","Score, 100=Max strength 0=Weakest","2013","72.67"
"Australia","Market sophistication","Score","Score, 100=Max strength 0=Weakest","2014","68.06"
"Australia","Market sophistication","Score","Score, 100=Max strength 0=Weakest","2015","66.72"
"Australia","Market sophistication","Score","Score, 100=Max strength 0=Weakest","2016","65.75"
"Australia","Market sophistication","Score","Score, 100=Max strength 0=Weakest","2017","65.33"
"Australia","Market sophistication","Score","Score, 100=Max strength 0=Weakest","2018","67.7"
"Australia","Market sophistication","Score","Score, 100=Max strength 0=Weakest","2019","68.3"
"Australia","Market sophistication","Score","Score, 100=Max strength 0=Weakest","2020","67.1"
"Australia","Market sophistication","Score","Score, 100=Max strength 0=Weakest","2021","66.4"
"Australia","Market sophistication","Score","Score, 100=Max strength 0=Weakest","2022","50.2"
"Australia","Business sophistication","Score","Score, 100=Max strength 0=Weakest","2013","48.25"
"Australia","Business sophistication","Score","Score, 100=Max strength 0=Weakest","2014","43.91"
"Australia","Business sophistication","Score","Score, 100=Max strength 0=Weakest","2015","47.45"
"Australia","Business sophistication","Score","Score, 100=Max strength 0=Weakest","2016","45.02"
"Australia","Business sophistication","Score","Score, 100=Max strength 0=Weakest","2017","45.37"
"Australia","Business sophistication","Score","Score, 100=Max strength 0=Weakest","2018","44.5"
